month,region,product,product_name,revenue,units,orders
2010-07,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,27.04,16,1
2010-07,Ireland (EIRE),85099B,JUMBO BAG RED RETROSPOT,19.5,10,1
2010-07,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,53.10000000000001,18,2
2010-07,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,33414.53,15188,27
2010-07,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,169.95,103,10
2010-07,Rest of Europe,22086,PAPER CHAIN KIT 50'S CHRISTMAS,119.7,46,2
2010-07,Rest of Europe,22197,SMALL POPCORN HOLDER,23.799999999999997,28,3
2010-07,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,19.5,10,1
2010-07,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,114.75,9,4
2010-07,Rest of Europe,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,61.199999999999996,24,2
2010-07,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,232.0,160,1
2010-07,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,214.5,110,9
2010-07,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,53.10000000000001,18,3
2010-07,Rest of Europe,ALL OTHER PRODUCTS,All other products,39250.33,26913,68
2010-07,Rest of World,22423,REGENCY CAKESTAND 3 TIER,251.7,22,3
2010-07,Rest of World,ALL OTHER PRODUCTS,All other products,7584.53,3622,10
2010-07,United Kingdom,20725,LUNCH BAG RED RETROSPOT,2768.89,1725,126
2010-07,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,416.43,149,11
2010-07,United Kingdom,22197,SMALL POPCORN HOLDER,1598.01,2052,55
2010-07,United Kingdom,22386,JUMBO BAG PINK POLKADOT,2785.2,1534,92
2010-07,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,17521.43,1425,215
2010-07,United Kingdom,47566,PARTY BUNTING,1187.1100000000001,183,28
2010-07,United Kingdom,79321,CHILLI LIGHTS,560.07,117,20
2010-07,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,193.0,56,12
2010-07,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,4773.01,2941,104
2010-07,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,6291.41,3471,141
2010-07,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10587.64,3988,225
2010-07,United Kingdom,ALL OTHER PRODUCTS,All other products,501621.09,273446,1388
2010-08,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,234.0,160,2
2010-08,Ireland (EIRE),22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003,6,1
2010-08,Ireland (EIRE),22197,SMALL POPCORN HOLDER,442.2,612,2
2010-08,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,328.2,28,5
2010-08,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,70.80000000000001,24,2
2010-08,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,24312.81,14966,27
2010-08,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,330.0,200,9
2010-08,Rest of Europe,22197,SMALL POPCORN HOLDER,30.599999999999998,36,3
2010-08,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,514.5,310,3
2010-08,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,1280.7,114,9
2010-08,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,135.2,80,4
2010-08,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,117.0,60,4
2010-08,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1312.5,510,4
2010-08,Rest of Europe,ALL OTHER PRODUCTS,All other products,61914.88,121333,67
2010-08,Rest of World,ALL OTHER PRODUCTS,All other products,2872.26,1949,4
2010-08,United Kingdom,20725,LUNCH BAG RED RETROSPOT,4888.78,2534,149
2010-08,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,758.44,264,27
2010-08,United Kingdom,22197,SMALL POPCORN HOLDER,1466.5,1926,60
2010-08,United Kingdom,22386,JUMBO BAG PINK POLKADOT,3238.37,1553,108
2010-08,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,11649.63,903,178
2010-08,United Kingdom,47566,PARTY BUNTING,5502.110000000001,609,34
2010-08,United Kingdom,79321,CHILLI LIGHTS,1155.25,221,24
2010-08,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,479.72999999999996,173,21
2010-08,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,4893.389999999999,3075,86
2010-08,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,3514.29,1801,95
2010-08,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11289.13,4170,241
2010-08,United Kingdom,ALL OTHER PRODUCTS,All other products,531288.75,314314,1294
2010-09,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,132.0,80,2
2010-09,Ireland (EIRE),22086,PAPER CHAIN KIT 50'S CHRISTMAS,17.700000000000003,6,1
2010-09,Ireland (EIRE),22197,SMALL POPCORN HOLDER,40.8,48,2
2010-09,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,1983.1499999999999,177,13
2010-09,Ireland (EIRE),79321,CHILLI LIGHTS,29.700000000000003,6,1
2010-09,Ireland (EIRE),84347,ROTATING SILVER ANGELS T-LIGHT HLDR,61.199999999999996,24,1
2010-09,Ireland (EIRE),84879,ASSORTED COLOUR BIRD ORNAMENT,13.52,8,1
2010-09,Ireland (EIRE),85123A,WHITE HANGING HEART T-LIGHT HOLDER,357.90000000000003,130,6
2010-09,Ireland (EIRE),ALL OTHER PRODUCTS,All other products,33236.15,19618,31
2010-09,Rest of Europe,20725,LUNCH BAG RED RETROSPOT,570.5,370,15
2010-09,Rest of Europe,22086,PAPER CHAIN KIT 50'S CHRISTMAS,119.7,46,2
2010-09,Rest of Europe,22197,SMALL POPCORN HOLDER,78.19999999999999,92,7
2010-09,Rest of Europe,22386,JUMBO BAG PINK POLKADOT,379.5,210,10
2010-09,Rest of Europe,22423,REGENCY CAKESTAND 3 TIER,1322.25,115,15
2010-09,Rest of Europe,79321,CHILLI LIGHTS,39.6,8,1
2010-09,Rest of Europe,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,76.5,30,3
2010-09,Rest of Europe,84879,ASSORTED COLOUR BIRD ORNAMENT,774.96,504,8
2010-09,Rest of Europe,85099B,JUMBO BAG RED RETROSPOT,631.5,370,7
2010-09,Rest of Europe,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1158.1499999999999,449,7
2010-09,Rest of Europe,ALL OTHER PRODUCTS,All other products,94854.88,61836,118
2010-09,Rest of World,20725,LUNCH BAG RED RETROSPOT,161.5,110,2
2010-09,Rest of World,22086,PAPER CHAIN KIT 50'S CHRISTMAS,59.0,20,1
2010-09,Rest of World,22197,SMALL POPCORN HOLDER,20.4,24,2
2010-09,Rest of World,22423,REGENCY CAKESTAND 3 TIER,739.05,67,2
2010-09,Rest of World,84879,ASSORTED COLOUR BIRD ORNAMENT,10.14,6,1
2010-09,Rest of World,85123A,WHITE HANGING HEART T-LIGHT HOLDER,189.75,73,3
2010-09,Rest of World,ALL OTHER PRODUCTS,All other products,7280.86,4512,12
2010-09,United Kingdom,20725,LUNCH BAG RED RETROSPOT,2489.84,1355,119
2010-09,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3067.7200000000003,1142,82
2010-09,United Kingdom,22197,SMALL POPCORN HOLDER,2117.24,2724,77
2010-09,United Kingdom,22386,JUMBO BAG PINK POLKADOT,3817.98,2112,107
2010-09,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,20726.719999999998,1702,216
2010-09,United Kingdom,47566,PARTY BUNTING,3873.57,981,41
2010-09,United Kingdom,79321,CHILLI LIGHTS,2546.42,493,40
2010-09,United Kingdom,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,4945.929999999999,2638,34
2010-09,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,6029.07,3747,114
2010-09,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,11633.69,6653,192
2010-09,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10043.039999999999,3736,226
2010-09,United Kingdom,ALL OTHER PRODUCTS,All other products,653613.34,467144,1605
2010-10,Ireland (EIRE),20725,LUNCH BAG RED RETROSPOT,16.5,10,1
2010-10,Ireland (EIRE),22086,PAPER CHAIN KIT 50'S CHRISTMAS,35.400000000000006,12,1
2010-10,Ireland (EIRE),22197,SMALL POPCORN HOLDER,61.199999999999996,72,4
2010-10,Ireland (EIRE),22423,REGENCY CAKESTAND 3 TIER,1819.5,154,17
2010-10,Ireland (EIRE),47566,PARTY BUNTING,406.5,106,3
